
CVJ ZZ INV Detalle de definición de Artículo

Fecha: 05-MAR-2026 08:27:06 PM

Parametros
----------
Unidad Operativa: 132
Organización de Inventarios DESDE: M03 CARVAJAL ESPACIOS PLANTA PALMIRA
Organización de Inventarios HASTA: M03 CARVAJAL ESPACIOS PLANTA PALMIRA
Jgo Categ 1: Categoría de Productos
Categorías Desde 1: 
A : 
Jgo Categ 2: Inventory Category Set
Jgo Categ 3: COSTOS_PAC
Artículo Desde: 22000000
Artículo Hasta: 23999999
Estado del Articulo: Active
Tipo de Articulo: 
Planificador: 
Fecha Creacion Inicial: 
Fecha Creacion Final: 
Atributos De Información General: Sí
Atributos De Artículo De Inventario: No
Atributos De Artículo De Listas De Materiales: No
Atributos De Artículo De Administración De Activos: No
Atributos De Artículo De Cálculo De Costos: No
Atributos De Artículo De Compras: No
Atributos De Artículos De Recepción: No
Atributos De Artículos De Atributos Físicos: No
Atributos De Artículos De Planificación General: No
Atributos De Artículos De Planificación MPS/MRP: No
Atributos De Artículos De Márgenes Tiempo: No
Atributos De Artículos De Trabajo En Proceso: Sí
Atributos De Artículos De Administración De Pedidos: No
Atributos De Artículos De Facturación: No
Atributos De Artículos De Servicio: No
Atributos De Artículos De Opcion Web: No
Atributos De Artículos De Catalogo: No

*** Cuando hay varias categorias para un Artículo. Revise la configuración.

Organización Inventario|Artículo|Descripción|Fecha de Creacion|Fecha de ultima actualizacion|Creado Por|Importado|Provisión Inventarios|NUMERADOS|En Custodia|Artículo Plan Vallejo|Cliente Producto|Flexfield12|flexfield13|Pricat Desc Larga|Pricat Desc Corta|Responsabilidad|Actualizado por|Atributo6|Categoria1|Categoria2|Categoria3|Primario|Rastreo|Fjción Precios|Secundario|Fjación p/Def|Fact Desv +|Fact Desv -|Conversiones|Tipo Art Usuario|Estado Articulo|Descripción Larga|Código de Clasificación Fiscal|Clase de Condición de Transacción|Cuenta de Ajuste por Inflación|Cuenta de Corrección Monetaria|Cuenta de Costos de Ventas|Flexfields 6|Flexfields 7|Aplicación de Artículo de Inventario|Crear En Wip|Suministro Tipo|Subinventario|WIP_SUPPLY_LOCATOR_ID|Localizador|Tipo Tolerancia|Valor Tolerancia|Arrastre Inventario|Retraso Operación
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000132|HILO NYLBOND 60T45 4500M COLOR REF S669060 36BVA CIELO ( NY0294 CIELO REF:N339-60)|01-AGO-07|16-FEB-25|ERINCON092_CO|||||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|JCUENCA048_CO||MATERIAL DE MANUFACTURA.SUMINISTROS.N/A.N/A.N/A|MATERIA PRIMA.SUMINISTROS.HILOS.N/A|MATERIAL MANUFACTURA.PLANTA MEPAL.MUEBLES.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Materia Prima|Active|HILO NYLBOND 60T45 4500M COLOR REF S669060 36BVA CIELO ( NY0294 CIELO REF:N339-60)|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1405990100.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR|N|Proceso Tirar Operación|||||||
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000133|HILO NYLBOND 60T45 4500M COLOR REF S669060 61BVA GRIS CLARO ( NY2357 GRIS CLARO REF:N339-60)|05-FEB-08|16-FEB-25|ETRUJILLO650_CO|||||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|JCUENCA048_CO||MATERIAL DE MANUFACTURA.SUMINISTROS.N/A.N/A.N/A|MATERIA PRIMA.SUMINISTROS.HILOS.N/A|MATERIAL MANUFACTURA.PLANTA MEPAL.MUEBLES.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Materia Prima|Active|HILO NYLBOND 60T45 4500M COLOR REF S669060 61BVA GRIS CLARO ( NY2357 GRIS CLARO REF:N339-60)|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1405990100.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR|N|Proceso Tirar Operación|||||||
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000134|HILO NYLBOND 60T45 4500M COLOR REF S669060 35BVA PLATINO ( NY0269 PLATINO REF:N339-60)|22-FEB-08|16-FEB-25|ETRUJILLO650_CO|||||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|JCUENCA048_CO||MATERIAL DE MANUFACTURA.SUMINISTROS.N/A.N/A.N/A|MATERIA PRIMA.SUMINISTROS.HILOS.N/A|MATERIAL MANUFACTURA.PLANTA MEPAL.MUEBLES.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Materia Prima|Active|HILO NYLBOND 60T45 4500M COLOR REF S669060 35BVA PLATINO ( NY0269 PLATINO REF:N339-60)|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1405990100.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR|N|Proceso Tirar Operación|||||||
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000135|HILO NYLBOND 60T45 4500M COLOR REF  S669060  43BVA ACERO ( NY0466 ACERO REF:N339-60)|22-FEB-08|16-FEB-25|ETRUJILLO650_CO|||||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|JCUENCA048_CO||MATERIAL DE MANUFACTURA.SUMINISTROS.N/A.N/A.N/A|MATERIA PRIMA.SUMINISTROS.HILOS.N/A|MATERIAL MANUFACTURA.PLANTA MEPAL.MUEBLES.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Materia Prima|Active|HILO NYLBOND 60T45 4500M COLOR REF  S669060  43BVA ACERO ( NY0466 ACERO REF:N339-60)|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1405990100.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR|N|Proceso Tirar Operación|||||||
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000137|HILO NYLBOND 60T45 4500M COLOR REF S669060  BLACK (NEGRO) ( CN5368 NEGRO REF:N339-60)|05-FEB-08|16-FEB-25|ETRUJILLO650_CO|||||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|JCUENCA048_CO||MATERIAL DE MANUFACTURA.SUMINISTROS.N/A.N/A.N/A|MATERIA PRIMA.SUMINISTROS.HILOS.N/A|MATERIAL MANUFACTURA.PLANTA MEPAL.MUEBLES.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Materia Prima|Active|HILO NYLBOND 60T45 4500M COLOR REF S669060  BLACK (NEGRO) ( CN5368 NEGRO REF:N339-60)|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1405990100.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR|N|Proceso Tirar Operación|||||||
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000140|HILO NYLBOND 60T45 4500M COLOR REF S669060  FUWHT  BLANCO (  FUWHT REF:N339-60)|01-AGO-07|16-FEB-25|ERINCON092_CO|||||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|JCUENCA048_CO||MATERIAL DE MANUFACTURA.SUMINISTROS.N/A.N/A.N/A|MATERIA PRIMA.SUMINISTROS.HILOS.N/A|MATERIAL MANUFACTURA.PLANTA MEPAL.MUEBLES.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Materia Prima|Active|HILO NYLBOND 60T45 4500M COLOR REF S669060  FUWHT  BLANCO (  FUWHT REF:N339-60)|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1405990100.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR|N|Proceso Tirar Operación|||||||
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000148|CABEZA PARA CIERRE|01-AGO-07|10-MAY-21|ERINCON092_CO|||||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MATERIA PRIMA.ACCESORIOS.FERRETERIA.N/A.N/A|MATERIA PRIMA.ACCESORIOS.FERRETERIA.N/A|MATERIA PRIMA.PLANTA MEPAL.MUEBLES.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Materia Prima|Active|CABEZA PARA CIERRE|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1405990100.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR|Y|Proceso Tirar Operación|MP_WIP|364336|EN .  1.  1.  1.                      .                      ||||
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000149|TUERCA  HEXAGONAL 1/4 ZINCADA|01-AGO-07|10-MAY-21|ERINCON092_CO|||||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MATERIA PRIMA.ACCESORIOS.TUERCAS Y TORNILLOS.N/A.N/A|MATERIA PRIMA.ACCESORIOS.FERRETERIA.N/A|MATERIA PRIMA.PLANTA MEPAL.MUEBLES.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Materia Prima|Active|TUERCA  HEXAGONAL 1/4 ZINCADA|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1405990100.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR|Y|Proceso Tirar Operación|MP_WIP|364336|EN .  1.  1.  1.                      .                      ||||
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000150|TUERCA  HEXAGONAL 5/16 ZINCADA|01-AGO-07|10-MAY-21|ERINCON092_CO|||||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MATERIA PRIMA.ACCESORIOS.TUERCAS Y TORNILLOS.N/A.N/A|MATERIA PRIMA.ACCESORIOS.FERRETERIA.N/A|MATERIA PRIMA.PLANTA MEPAL.MUEBLES.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Materia Prima|Active|TUERCA  HEXAGONAL 5/16 ZINCADA|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1405990100.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR|Y|Proceso Tirar Operación|MP_WIP|364336|EN .  1.  1.  1.                      .                      ||||
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000151|TUERCA  HEXAGONAL 3/8 ZINCADA|01-AGO-07|10-MAY-21|ERINCON092_CO|||||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MATERIA PRIMA.OTROS.OTROS.OTROS.N/A|MATERIA PRIMA.OTROS.OTROS.OTROS|MATERIA PRIMA.PLANTA MEPAL.MUEBLES.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Materia Prima|Active|TUERCA  HEXAGONAL 3/8 ZINCADA|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1405990100.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR|Y|Proceso Tirar Operación|MP_WIP|364336|EN .  1.  1.  1.                      .                      ||||
