Organización Inventario	Artículo	Descripción	Fecha de Creacion	Fecha de ultima actualizacion	Creado Por	Importado	Provisión Inventarios	NUMERADOS	En Custodia	Artículo Plan Vallejo	Cliente Producto	Flexfield12	flexfield13	Pricat Desc Larga	Pricat Desc Corta	Responsabilidad	Actualizado por	Atributo6	Crear En Wip	Suministro Tipo	Subinventario	WIP_SUPPLY_LOCATOR_ID	Localizador	Tipo Tolerancia	Valor Tolerancia	Arrastre Inventario	Retraso Operación
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000149	TUERCA  HEXAGONAL 1/4 ZINCADA	1-ago-07	10-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000150	TUERCA  HEXAGONAL 5/16 ZINCADA	1-ago-07	10-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000151	TUERCA  HEXAGONAL 3/8 ZINCADA	1-ago-07	10-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000152	TUERCA  HEXAGONAL 1/2 ZINCADA	1-ago-07	10-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000153	TUERCA  HEXAGONAL 3/16 ZINCADA	1-ago-07	28-abr-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000155	TORNILLO 6X1.5/8 CAB AVELL. AW6158 GIMLET W  REF.400	1-ago-07	10-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000157	TORNILLO AUTOPERFORANTE CABEZA AVELLANADA 6 X 1 ZINCADO	1-ago-07	1-oct-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000158	TORNILLO CABEZA EXTRAPLANA 8 X 1 REF: 32Z NEGRO	1-ago-07	1-oct-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000159	TORNILLO AUTOPERFORANTE CABEZA EXTRAPLANA 8 X 1/2 REF:234 ZINCADO NEGRO	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000160	TORNILLO CABEZA ALLEN 1/4 X 5/8 NEGRO	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
